Year	Month	DayofMonth	DayOfWeek	DepTime	CRSDepTime	ArrTime	CRSArrTime	UniqueCarrier	FlightNum	TailNum	ActualElapsedTime	CRSElapsedTime	AirTime	ArrDelay	DepDelay	Origin	Dest	Distance	TaxiIn	TaxiOut	Cancelled	Diverted	OrigAirport	OrigCity	OrigState	OrigLat	OrigLong	DestAirport	DestCity	DestState	DestLat	DestLong
2002	5	21	2	1119	1123	1332	1350	NW	403	N994Z	133	147	112	-18	-4	MSP	DFW	852	10	11	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	22	3	1120	1123	1355	1350	NW	403	N963N	155	147	127	5	-3	MSP	DFW	852	9	19	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	23	4	1119	1123	1346	1350	NW	403	N963N	147	147	131	-4	-4	MSP	DFW	852	6	10	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	24	5	1118	1123	1357	1350	NW	403	N965N	159	147	128	7	-5	MSP	DFW	852	11	20	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	25	6	1119	1123	1348	1350	NW	403	N9336	149	147	122	-2	-4	MSP	DFW	852	11	16	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	26	7	1117	1123	1339	1350	NW	403	N621NW	142	147	121	-11	-6	MSP	DFW	852	4	17	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	27	1	1115	1123	1329	1350	NW	403	N620NW	134	147	116	-21	-8	MSP	DFW	852	6	12	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	28	2	1120	1123	1347	1350	NW	403	N927RC	147	147	122	-3	-3	MSP	DFW	852	11	14	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	29	3	1119	1123	1346	1350	NW	403	N603NW	147	147	116	-4	-4	MSP	DFW	852	6	25	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	30	4	1117	1123	1328	1350	NW	403	N940N	131	147	106	-22	-6	MSP	DFW	852	11	14	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	31	5	1115	1123	1328	1350	NW	403	N955N	133	147	116	-22	-8	MSP	DFW	852	7	10	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	1	3	1454	1500	1656	1727	NW	404	N942N	122	147	106	-31	-6	DFW	MSP	852	5	11	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	2	4	1452	1500	1654	1727	NW	404	N620NW	122	147	106	-33	-8	DFW	MSP	852	5	11	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	3	5	1452	1500	1659	1727	NW	404	N8934E	127	147	108	-28	-8	DFW	MSP	852	3	16	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	4	6	NULL	1500	NULL	1727	NW	404	N922RW	NULL	147	NULL	NULL	NULL	DFW	MSP	852	0	0	1	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	5	7	1456	1500	1718	1727	NW	404	N9335	142	147	116	-9	-4	DFW	MSP	852	10	16	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	6	1	1455	1500	1708	1727	NW	404	N920RW	133	147	113	-19	-5	DFW	MSP	852	5	15	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	7	2	1453	1500	1708	1727	NW	404	N924RW	135	147	114	-19	-7	DFW	MSP	852	5	16	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	8	3	1501	1500	NULL	1727	NW	404	N960N	NULL	147	NULL	NULL	1	DFW	MSP	852	0	13	0	1	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	9	4	1505	1500	1721	1727	NW	404	N964N	136	147	119	-6	5	DFW	MSP	852	7	10	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	10	5	1518	1500	1731	1727	NW	404	N926RC	133	147	118	4	18	DFW	MSP	852	5	10	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	11	6	1509	1500	1727	1727	NW	404	N915RW	138	147	118	0	9	DFW	MSP	852	6	14	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	12	7	1455	1500	1655	1727	NW	404	N915RW	120	147	106	-32	-5	DFW	MSP	852	4	10	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	13	1	1449	1500	1710	1727	NW	404	N926RC	141	147	119	-17	-11	DFW	MSP	852	5	17	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	14	2	1451	1500	1711	1727	NW	404	N3324L	140	147	119	-16	-9	DFW	MSP	852	8	13	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	15	3	1500	1500	1708	1727	NW	404	N914RW	128	147	110	-19	0	DFW	MSP	852	4	14	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	16	4	1451	1500	1710	1727	NW	404	N915RW	139	147	114	-17	-9	DFW	MSP	852	4	21	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	17	5	1456	1500	1708	1727	NW	404	N9341	132	147	111	-19	-4	DFW	MSP	852	7	14	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	18	6	1451	1500	1711	1727	NW	404	N963N	140	147	120	-16	-9	DFW	MSP	852	4	16	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	19	7	1453	1500	1724	1727	NW	404	N963N	151	147	130	-3	-7	DFW	MSP	852	4	17	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	20	1	1455	1500	1722	1727	NW	404	N927RC	147	147	123	-5	-5	DFW	MSP	852	11	13	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	21	2	1456	1500	1709	1727	NW	404	N994Z	133	147	118	-18	-4	DFW	MSP	852	5	10	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	22	3	1455	1500	1713	1727	NW	404	N963N	138	147	118	-14	-5	DFW	MSP	852	7	13	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	23	4	1456	1500	1717	1727	NW	404	N9336	141	147	111	-10	-4	DFW	MSP	852	14	16	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	24	5	1455	1500	1717	1727	NW	404	N965N	142	147	118	-10	-5	DFW	MSP	852	8	16	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	25	6	1455	1500	1705	1727	NW	404	N9336	130	147	108	-22	-5	DFW	MSP	852	5	17	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	26	7	1455	1500	1718	1727	NW	404	N621NW	143	147	122	-9	-5	DFW	MSP	852	5	16	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	27	1	1505	1500	1750	1727	NW	404	N620NW	165	147	135	23	5	DFW	MSP	852	4	26	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	28	2	1457	1500	1729	1727	NW	404	N927RC	152	147	125	2	-3	DFW	MSP	852	14	13	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	29	3	1456	1500	1730	1727	NW	404	N603NW	154	147	129	3	-4	DFW	MSP	852	8	17	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	30	4	1454	1500	1725	1727	NW	404	N940N	151	147	131	-2	-6	DFW	MSP	852	7	13	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	31	5	1455	1500	1715	1727	NW	404	N955N	140	147	117	-12	-5	DFW	MSP	852	10	13	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	1	3	1552	1518	1825	1746	NW	405	N608NW	153	148	128	39	34	MSP	DFW	852	10	15	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	2	4	1510	1518	1749	1746	NW	405	N925US	159	148	133	3	-8	MSP	DFW	852	15	11	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	3	5	1515	1518	1742	1746	NW	405	N9338	147	148	124	-4	-3	MSP	DFW	852	9	14	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	4	6	1515	1518	1759	1746	NW	405	N9343	164	148	132	13	-3	MSP	DFW	852	17	15	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	5	7	1515	1518	1758	1746	NW	405	N9334	163	148	137	12	-3	MSP	DFW	852	15	11	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	6	1	1516	1518	1759	1746	NW	405	N607NW	163	148	135	13	-2	MSP	DFW	852	14	14	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	7	2	1518	1518	1809	1746	NW	405	N615NW	171	148	134	23	0	MSP	DFW	852	15	22	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	8	3	NULL	1518	NULL	1746	NW	405	N914RW	NULL	148	NULL	NULL	NULL	MSP	DFW	852	0	0	1	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	9	4	1517	1518	1800	1746	NW	405	N778NC	163	148	135	14	-1	MSP	DFW	852	11	17	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	10	5	1514	1518	1805	1746	NW	405	N961N	171	148	135	19	-4	MSP	DFW	852	14	22	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	11	6	1516	1518	1757	1746	NW	405	N962N	161	148	127	11	-2	MSP	DFW	852	11	23	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	12	7	1514	1518	1749	1746	NW	405	N623NW	155	148	138	3	-4	MSP	DFW	852	10	7	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	13	1	1515	1518	1742	1746	NW	405	N611NA	147	148	116	-4	-3	MSP	DFW	852	13	18	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	14	2	1512	1518	1739	1746	NW	405	N962N	147	148	117	-7	-6	MSP	DFW	852	16	14	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	15	3	1514	1518	1750	1746	NW	405	N9347	156	148	125	4	-4	MSP	DFW	852	15	16	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	16	4	1520	1518	1756	1746	NW	405	N965N	156	148	127	10	2	MSP	DFW	852	15	14	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	17	5	1518	1518	1742	1746	NW	405	N926RC	144	148	117	-4	0	MSP	DFW	852	14	13	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	18	6	1516	1518	1732	1746	NW	405	N9335	136	148	118	-14	-2	MSP	DFW	852	5	13	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	19	7	1516	1518	1728	1746	NW	405	N917RW	132	148	112	-18	-2	MSP	DFW	852	7	13	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	20	1	1513	1518	1729	1746	NW	405	N608NW	136	148	109	-17	-5	MSP	DFW	852	12	15	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	21	2	1511	1518	1734	1746	NW	405	N927RC	143	148	115	-12	-7	MSP	DFW	852	11	17	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	22	3	1512	1518	1749	1746	NW	405	N609NW	157	148	128	3	-6	MSP	DFW	852	7	22	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	23	4	1514	1518	1758	1746	NW	405	N919RW	164	148	130	12	-4	MSP	DFW	852	17	17	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	24	5	1622	1518	1838	1746	NW	405	N621NW	136	148	119	52	64	MSP	DFW	852	9	8	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	25	6	1514	1518	1739	1746	NW	405	N619NW	145	148	119	-7	-4	MSP	DFW	852	10	16	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	26	7	1515	1518	1743	1746	NW	405	N915RW	148	148	120	-3	-3	MSP	DFW	852	10	18	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	27	1	1556	1518	1833	1746	NW	405	N786NC	157	148	121	47	38	MSP	DFW	852	14	22	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	28	2	1558	1518	1846	1746	NW	405	N987US	168	148	125	60	40	MSP	DFW	852	7	36	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	29	3	1514	1518	1741	1746	NW	405	N9338	147	148	118	-5	-4	MSP	DFW	852	13	16	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	30	4	1512	1518	1724	1746	NW	405	N606NW	132	148	110	-22	-6	MSP	DFW	852	7	15	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	31	5	1512	1518	1724	1746	NW	405	N621NW	132	148	116	-22	-6	MSP	DFW	852	4	12	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	1	3	1141	1145	1404	1410	NW	405	N994Z	83	85	68	-6	-4	RAP	MSP	490	4	11	0	0	Rapid City Regional	Rapid City	SD	44.04532139	-103.0573708	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	2	4	1141	1145	1410	1410	NW	405	N925US	89	85	75	0	-4	RAP	MSP	490	5	9	0	0	Rapid City Regional	Rapid City	SD	44.04532139	-103.0573708	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
